rank,model,organization,country,hf_repo,provider_prefix,params,active_params,context_tokens,native_tool_calling,tool_calling_grade,vram_fp16_gb,vram_int4_gb,recommended_gpu,license,best_role,vllm_tool_parser,bfcl_v4,benchmark_note,notes,validated_stack,validated_date
11,Kimi-K2 Instruct,Moonshot AI,China,moonshotai/Kimi-K2-Instruct,openai,1000B,32B,128000,yes,very-good,2300,632,8x 80GB (1x H100 node),Modified MIT,orchestrator,kimi_k2,59.06 (FC),BFCL Function-Calling tier (kimi-k2-FC),Very large MoE; strong agentic tool use,,
12,Command A,Cohere,Canada,CohereForAI/c4ai-command-a-03-2025,cohere,111B,111B,256000,yes,very-good,255,70,1x 80GB (A100 / H100),CC-BY-NC-4.0,compliance-rag,cohere_command3,46.49 (FC),BFCL Function-Calling tier (command-a-03-2025-FC),Cohere current-gen tool+RAG; non-commercial license; needs cohere_melody pkg,,
13,Qwen2.5 14B Instruct,Alibaba (Qwen team),China,Qwen/Qwen2.5-14B-Instruct,openai,14B,14B,128000,yes,very-good,32,9,1x 16-24GB (RTX 4090 / L4),Apache-2.0,domain-agent,hermes,n/a,Native Hermes-style FC (vLLM),Great quality/size for leaf agents,,
14,Mixtral 8x22B Instruct,Mistral AI,France,mistralai/Mixtral-8x22B-Instruct-v0.1,openai,141B,39B,64000,yes,good,324,89,2x 80GB (A100 / H100),Apache-2.0,orchestrator,mistral,n/a,Native Mistral FC; not on current BFCL,Efficient MoE; smaller context; validate parallel calls,,
15,Mistral Small 3 24B,Mistral AI,France,mistralai/Mistral-Small-24B-Instruct-2501,openai,24B,24B,32000,yes,very-good,55,15,1x 16-24GB (RTX 4090 / L4),Apache-2.0,domain-agent,mistral,n/a,Mistral Small line on BFCL Function-Calling tier,Fast native tool calling; in SAM modelinfo,,
16,Qwen2.5 7B Instruct,Alibaba (Qwen team),China,Qwen/Qwen2.5-7B-Instruct,openai,7B,7B,128000,yes,good,16,4,1x 16-24GB (RTX 4090 / L4),Apache-2.0,leaf-agent,hermes,n/a,Native Hermes-style FC (vLLM),Cheapest reliable tool caller,,
17,Qwen2.5-Coder 32B,Alibaba (Qwen team),China,Qwen/Qwen2.5-Coder-32B-Instruct,openai,32B,32B,128000,yes,very-good,74,20,1x 24GB (RTX 4090 / A10),Apache-2.0,structured-tools,hermes,n/a,Native Hermes-style FC (vLLM),Best for code/structured tool args,,
18,gpt-oss 20b,OpenAI,USA,openai/gpt-oss-20b,openai,21B,3.6B,128000,yes,good,n/a (MXFP4),~16 (MXFP4),1x 16-24GB (RTX 4090 / L4),Apache-2.0,leaf-agent,openai,n/a,Agentic-first; ~o3-mini class (vendor); runs in ~16GB,OpenAI open-weight small; harmony format required; vLLM openai parser,,
19,Mistral NeMo 12B,Mistral AI + NVIDIA,France,mistralai/Mistral-Nemo-Instruct-2407,openai,12B,12B,128000,yes,good,28,8,1x 16-24GB (RTX 4090 / L4),Apache-2.0,leaf-agent,mistral,27.63 (FC),BFCL Function-Calling tier (open-mistral-nemo-2407-FC),Long context at small size,,
20,Llama 3.1 8B Instruct,Meta,USA,meta-llama/Llama-3.1-8B-Instruct,openai,8B,8B,128000,yes,good,18,5,1x 16-24GB (RTX 4090 / L4),Llama 3.1 Community,leaf-agent,llama3_json,25.83 (P),BFCL Function-Calling tier (self-hosted),Ubiquitous small model; in SAM modelinfo. No parallel tool calls (Llama 3),,
21,DeepSeek-R1 (0528),DeepSeek,China,deepseek-ai/DeepSeek-R1-0528,openai,671B,37B,128000,partial,validate-first,1543,424,8x 80GB (1x H100 node),MIT,reasoning,deepseek_v3,n/a,BFCL Prompt tier only (base R1 has no native FC),Use the 0528 revision + deepseek R1 chat template; base DeepSeek-R1 is prompt-only. Validate H1-H3,,
22,Command R+ (legacy),Cohere,Canada,CohereForAI/c4ai-command-r-plus,cohere,104B,104B,128000,partial,validate-first,239,66,1x 80GB (A100 / H100),CC-BY-NC-4.0,compliance-rag,none,n/a,Superseded by Command A; not in current vLLM parser list,Older Cohere tool+RAG model; prefer Command A. No current vLLM parser; validate serving path,,
23,Gemma 2 27B Instruct,Google,USA,google/gemma-2-27b-it,openai,27B,27B,8000,no,unsupported,62,17,1x 24GB (RTX 4090 / A10),Gemma,not-recommended,none,n/a,No native FC (vLLM has no parser; HF card has no tool role; BFCL prompt-only),NOT recommended for SAM: no native tool calling. Only google/functiongemma-270m-it has FC. 8K context also limiting,,
24,Phi-4 14B,Microsoft,USA,microsoft/phi-4,openai,14B,14B,16000,no,unsupported,32,9,1x 16-24GB (RTX 4090 / L4),MIT,not-recommended,none,28.79 (P),No native FC (vLLM absent; HF card system/user/assistant only; BFCL prompt-only),NOT recommended for SAM: base Phi-4 has no tool role. Use microsoft/Phi-4-mini-instruct instead (has native FC),,
25,Yi-1.5 34B Chat,01.AI,China,01-ai/Yi-1.5-34B-Chat,openai,34B,34B,32000,no,unsupported,78,22,1x 24GB (RTX 4090 / A10),Apache-2.0,not-recommended,none,n/a,No confirmed native FC (not in vLLM parser list or BFCL FC tier),NOT recommended for SAM: no confirmed native tool calling. Prefer a Qwen2.5/Qwen3 model at similar size,,
